,SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR(PPM)
347,50.87,14.85,8.93,10.82,9.45,2.68,1.03,0.99,0
348,50.91,17.17,7.59,8.74,8.86,3.29,1.49,1.42,0
349,50.91,17.16,7.59,8.74,8.86,3.29,1.49,1.42,0
350,50.95,16.73,6.8,9.2,9.11,3.88,1.59,1.12,0
351,50.96,16.72,7.11,9.0,9.07,3.7,1.62,1.17,0
352,51.16,16.32,6.33,8.49,10.53,3.13,2.07,1.07,0
353,51.3,16.82,7.5,9.45,9.08,2.98,1.32,1.06,0
354,51.31,16.53,7.76,9.14,8.95,3.55,1.14,1.18,0
355,51.33,16.9,7.04,9.62,8.77,3.54,1.31,1.0,0
356,51.35,16.8,7.5,8.66,8.9,3.35,1.79,1.07,0
357,51.36,16.87,7.39,8.55,8.94,3.43,1.81,1.06,0
358,51.38,15.29,8.39,10.54,9.15,2.77,1.37,0.96,0
359,51.46,17.43,6.74,9.2,9.08,3.59,1.17,0.88,0
360,51.69,17.66,7.06,8.89,9.03,3.3,1.05,0.88,0
361,51.69,17.66,7.05,8.89,9.03,3.3,1.05,0.88,0
362,51.73,17.55,6.99,8.71,9.2,3.41,1.09,0.9,0
363,51.81,13.82,8.64,11.16,9.22,2.45,1.19,1.33,0
364,52.02,17.53,6.48,9.09,8.97,3.73,1.03,0.8,0
365,53.31,16.27,7.37,8.83,10.01,2.5,0.57,0.81,0
366,53.25,15.61,7.46,10.09,9.67,2.32,0.58,0.73,0
367,52.1,14.95,8.62,9.41,8.9,2.83,1.44,1.22,0
368,52.25,14.92,8.63,9.37,8.87,2.74,1.49,1.22,0
369,52.17,16.17,7.4,10.21,8.37,3.03,1.3,0.94,0
370,53.06,17.07,6.81,8.39,8.08,3.6,1.48,1.15,0
371,57.24,15.18,6.75,8.13,7.4,3.17,1.08,0.76,0
372,57.72,15.79,6.5,6.67,7.71,3.36,1.12,0.82,0
373,55.76,14.3,7.06,10.05,7.59,3.24,0.92,0.76,0
374,54.72,14.41,7.89,9.34,8.03,3.32,0.97,0.98,0
375,54.01,16.02,7.65,8.71,8.33,3.06,0.77,1.06,0
376,53.26,16.05,7.29,8.04,10.76,2.83,0.57,0.82,0
377,53.46,16.48,7.16,9.24,9.3,2.68,0.55,0.8,0
378,53.25,16.89,7.12,9.14,9.33,2.65,0.48,0.81,0
379,53.32,16.28,7.26,9.63,9.36,2.5,0.54,0.81,0
380,52.05,15.97,7.72,10.79,9.43,2.41,0.57,0.8,0
381,52.39,14.04,8.28,11.49,9.15,2.78,0.56,1.02,0
382,61.29,15.35,5.79,6.39,5.35,3.46,1.3,0.79,0
383,57.02,15.31,6.65,8.11,7.58,3.14,1.15,0.76,0
384,56.93,15.3,6.6,8.23,7.63,3.16,1.11,0.76,0
385,57.3,15.46,6.64,7.67,7.57,3.18,1.14,0.77,0
386,56.48,15.1,7.76,7.79,7.62,3.06,1.09,0.83,0
387,55.36,13.96,7.38,10.59,7.56,3.11,0.97,0.79,0
388,54.96,14.55,7.88,9.1,7.9,3.28,1.0,1.0,0
389,54.87,13.75,7.46,11.1,7.82,2.93,0.93,0.81,0
390,54.73,14.39,7.96,9.15,8.11,3.34,0.99,0.99,0
391,54.58,14.56,8.03,9.28,7.97,3.25,0.99,1.0,0
392,54.3,16.13,7.65,8.34,8.24,3.25,0.67,1.08,0
393,52.54,15.07,8.94,9.64,8.52,3.01,0.7,1.17,0
394,52.29,16.03,7.74,10.14,9.48,2.66,0.57,0.78,0
395,52.56,16.16,7.85,9.69,9.42,2.66,0.58,0.78,0
396,53.08,16.19,7.36,9.67,9.28,2.81,0.52,0.79,0
397,54.07,12.77,8.36,12.8,8.83,1.73,0.65,0.56,0
398,54.47,12.97,8.3,12.1,8.95,1.8,0.6,0.59,0
399,54.0,12.75,8.41,12.9,8.83,1.69,0.64,0.55,0
400,54.08,14.78,8.03,9.64,9.37,2.35,0.9,0.6,0
401,54.51,15.15,8.11,8.85,9.61,2.22,0.69,0.63,0
402,53.71,15.37,8.25,8.98,9.51,2.43,0.8,0.71,0
403,52.67,16.05,8.76,9.32,8.97,2.39,0.73,0.84,0
404,52.51,16.02,8.71,9.14,9.18,2.5,0.77,0.91,0
405,61.21,15.06,6.0,7.26,4.93,2.57,1.79,0.91,0
406,57.55,15.61,6.71,7.48,7.47,2.99,1.13,0.77,0
407,54.59,15.65,6.52,10.17,7.99,3.32,0.74,0.76,0
408,59.76,16.37,5.37,6.65,6.02,3.12,1.94,0.65,0
409,59.37,15.01,5.96,8.32,6.41,2.83,1.44,0.54,0
410,57.56,15.85,5.57,8.82,6.8,2.97,1.7,0.64,0
411,57.64,15.77,5.79,8.32,6.67,3.16,1.79,0.75,0
412,56.87,15.24,6.28,8.34,8.02,2.77,1.68,0.64,0
413,53.82,15.62,7.6,9.32,8.38,2.85,1.44,0.81,0
414,56.5,16.74,5.91,7.85,7.45,3.02,1.74,0.67,0
415,56.8,15.26,6.1,9.17,7.01,3.16,1.69,0.69,0
416,57.47,15.9,5.87,8.51,6.5,3.05,1.76,0.65,0
417,53.45,15.95,7.69,9.83,8.39,2.65,1.0,0.78,0
418,60.37,16.2,4.88,6.58,5.68,3.63,1.82,0.58,0
419,60.92,16.4,4.76,5.83,5.79,3.6,1.84,0.59,0
420,61.2,16.38,4.66,5.75,5.49,3.77,1.91,0.57,0
421,60.38,16.23,4.89,6.37,5.75,3.7,1.83,0.59,0
422,60.43,16.22,4.82,6.36,5.82,3.61,1.86,0.59,0
423,60.43,16.29,4.97,6.28,5.66,3.7,1.84,0.59,0
424,60.13,16.05,4.95,6.72,5.84,3.62,1.83,0.59,0
425,60.35,16.38,4.96,6.13,5.81,3.66,1.83,0.59,0
426,58.67,16.73,5.19,6.81,6.7,3.24,2.01,0.55,0
427,60.48,16.33,4.9,6.19,5.8,3.6,1.86,0.59,0
428,60.48,16.23,4.98,6.2,5.78,3.64,1.85,0.59,0
429,60.27,16.39,4.92,6.28,5.83,3.65,1.82,0.59,0
430,59.54,16.4,5.17,6.56,6.17,3.53,1.78,0.59,0
431,59.85,16.46,5.04,6.21,6.16,3.6,1.8,0.6,0
432,60.15,16.39,4.92,6.42,5.76,3.62,1.88,0.59,0
433,59.87,16.39,5.11,6.34,6.07,3.55,1.79,0.6,0
434,60.46,16.22,4.89,6.33,5.73,3.66,1.85,0.58,0
435,60.21,16.33,5.09,6.24,5.83,3.6,1.81,0.59,0
436,59.85,16.56,4.95,6.16,6.28,3.54,1.79,0.6,0
437,59.79,16.36,5.06,6.49,6.08,3.56,1.8,0.59,0
438,59.6,16.5,5.15,6.3,6.26,3.54,1.78,0.61,0
439,59.7,16.5,5.06,6.29,6.2,3.57,1.8,0.6,0
440,59.66,16.49,5.14,6.25,6.25,3.58,1.77,0.6,0
441,59.79,16.35,5.19,6.41,6.01,3.57,1.82,0.59,0
442,59.57,16.5,5.14,6.35,6.23,3.53,1.79,0.6,0
443,60.04,16.45,5.07,6.09,6.13,3.54,1.82,0.6,0
444,59.53,16.43,5.17,6.45,6.24,3.53,1.78,0.6,0
445,59.61,16.64,5.14,6.14,6.26,3.53,1.81,0.61,0
446,59.66,16.55,5.19,6.2,6.21,3.53,1.8,0.6,0
447,59.64,16.3,5.4,6.6,6.38,3.26,1.53,0.65,0
448,59.47,16.55,5.08,6.37,6.29,3.54,1.79,0.6,0
449,59.5,16.55,5.15,6.34,6.35,3.51,1.75,0.6,0
450,59.73,16.32,5.51,6.37,6.34,3.19,1.62,0.67,0
451,59.54,16.44,5.18,6.45,6.25,3.5,1.78,0.6,0
452,58.63,16.68,5.46,6.47,6.65,3.47,1.77,0.6,0
453,58.73,16.57,5.34,6.65,6.66,3.43,1.76,0.6,0
454,58.87,16.55,5.39,6.6,6.57,3.4,1.76,0.6,0
455,58.4,16.64,5.45,6.71,6.69,3.42,1.81,0.61,0
456,58.59,16.76,5.46,6.45,6.61,3.47,1.78,0.62,0
457,58.08,14.75,6.06,8.66,6.74,3.21,1.61,0.58,0
458,57.54,13.63,6.82,9.5,6.68,2.96,1.89,0.65,0
459,57.79,16.32,6.0,8.19,6.26,2.97,1.61,0.66,0
460,57.51,14.1,6.54,8.73,6.94,3.06,2.08,0.76,0
461,57.49,13.5,6.96,10.08,6.4,2.85,1.77,0.69,0
462,57.78,16.17,6.39,6.87,6.63,3.09,1.86,0.88,0
463,57.37,14.66,7.54,7.94,7.5,2.71,1.17,0.81,0
464,57.09,12.39,8.1,10.69,6.64,2.56,1.55,0.71,0
465,56.92,12.42,8.06,10.81,6.8,2.5,1.51,0.72,0
466,57.35,16.57,5.74,7.15,7.09,3.04,2.15,0.63,0
467,57.18,16.73,5.65,7.3,7.07,3.11,2.07,0.62,0
